A1=D Lacunas
A2=ID | B2=Tema | C2=Lacuna/Bloqueio | D2=Fonte | E2=Impacto | F2=O que precisa ser decidido/fornecido | G2=Status
A3=L-01 | B3=Gate formal | C3=RC-2.2 e RC-3 estão PARA APROVAÇÃO; nenhum deles autoriza codificação ainda. | D3=Ambos | E3=Bloqueia qualquer implementação definitiva. | F3=Aprovação formal Majucau após resolver conflitos. | G3=BLOQUEADO POR REGRA
A4=L-02 | B4=Sistema atual | C4=Não há repositório, schema, migrations, configs, logs ou testes do sistema atual. | D4=Pacote recebido | E4=Impossível classificar JÁ CONFORME/PRECISA ALTERAÇÃO por código. | F4=Acesso read-only ao projeto e dados técnicos. | G4=BLOQUEADO POR DADO
A5=L-03 | B5=CMV histórico | C5=Campo/snapshot Bling válido na data da venda não está mapeado. | D5=FIN OPEN-01 | E5=Margem/DRE histórica não podem ser exatas. | F5=Mapear campo/snapshot ou decidir tratamento. | G5=BLOQUEADO POR DADO
A6=L-04 | B6=Perdas — competência | C6=Data de reconhecimento na DRE não definida. | D6=FIN OPEN-02 | E6=Resultado por período pode mudar. | F6=Definir occurrence/confirmation/baixa/outra data. | G6=LACUNA — DECISÃO MAJUCAU
A7=L-05 | B7=Juros Nuvem | C7=Classificação do campo Juros entre Resultado Financeiro vs Despesa Comercial não fechada. | D7=FIN OPEN-03 | E7=DRE por linha diverge. | F7=Aprovar conta/classificação e competência. | G7=LACUNA — DECISÃO MAJUCAU
A8=L-06 | B8=Tarifa fixa Pricing | C8=Sem regra de alocação de R$0,35/R$2,39 entre SKUs de pedido multi-item. | D8=FIN OPEN-04 | E8=Preço sugerido por SKU incompleto. | F8=Definir rateio ou excluir componente por SKU com regra explícita. | G8=LACUNA — DECISÃO MAJUCAU
A9=L-07 | B9=Caixa da semana crítica | C9=Saldo/posição dentro da semana não está mapeado. | D9=FIN OPEN-05 | E9=Máximo Aplicável indefinido mesmo após escolher semana. | F9=Definir campo real do fluxo. | G9=LACUNA — DECISÃO MAJUCAU
A10=L-08 | B10=Balancete — saldos iniciais | C10=Fonte/campo oficial e contrapartidas completas não mapeados. | D10=FIN OPEN-06 | E10=Balancete não fecha de forma auditável. | F10=Aprovar fonte/campos ou manter UNAVAILABLE. | G10=BLOQUEADO POR DADO
A11=L-09 | B11=DRE — fontes complementares | C11=Folha, depreciação, tributos e outras linhas podem não existir no Bling. | D11=FIN OPEN-07 | E11=DRE incompleta. | F11=Aprovar fontes complementares e mappings. | G11=LACUNA — DECISÃO MAJUCAU
A12=L-10 | B12=UI Pricing | C12=Local exato do componente não decidido. | D12=FIN OPEN-08 | E12=Risco de violar Design Lock. | F12=Aprovar local em tela existente; sem nova rota automática. | G12=LACUNA — DECISÃO MAJUCAU
A13=L-11 | B13=Arquivos Nuvem | C13=Layout real, frequência, freshness e chaves definitivas ainda precisam validação. | D13=COM/LOG §20 | E13=Bloqueia importador confiável e status CONFIRMED. | F13=Fornecer arquivos-modelo e política operacional. | G13=BLOQUEADO POR DADO
A14=L-12 | B14=Ciclo de vida de arquivo | C14=Read-only na origem vs mover para processados/ não está reconciliado. | D14=COM/LOG §0.5 x FIN §13 | E14=Risco de permissão/destruição de evidência. | F14=Definir política: origem imutável + cópia interna ou movimento autorizado. | G14=LACUNA — DECISÃO MAJUCAU
A15=L-13 | B15=Fretes/taxas na DRE | C15=Classificação/competência contábil de fretes, taxas, comissões e ajustes não está totalmente fechada. | D15=COM/LOG gate/§0.6; FIN DRE-06 | E15=DRE final não pode consumir todos os fatos. | F15=Aprovar mapping/competência por tipo. | G15=LACUNA — DECISÃO MAJUCAU
A16=L-14 | B16=Recuperações | C16=Momento/conta/fonte de recuperação/estorno/reposição ainda não fechados. | D16=COM/LOG §20; FIN §11 | E16=Caixa/DRE podem antecipar ou duplicar recuperação. | F16=Aprovar reconhecimento por tipo de evento. | G16=LACUNA — DECISÃO MAJUCAU
A17=L-15 | B17=Custo de carregar estoque | C17=Taxa financeira mensal/custo de capital não definida. | D17=COM/LOG §20; FIN §12 | E17=Antecipação de compra fica sem custo econômico completo. | F17=Aprovar taxa/parametrização e armazenagem incremental válida. | G17=LACUNA — DECISÃO MAJUCAU
A18=L-16 | B18=Mockup Logística | C18=Conteúdo funcional fechado, mas localização/desenho ainda não congelados. | D18=COM/LOG §19.1 | E18=UI não pode ser implementada sem risco de redesign indevido. | F18=Aprovar bloco/tela dentro do Design Lock. | G18=LACUNA — DECISÃO MAJUCAU
A19=L-17 | B19=Compras — quantidade recomendada | C19=A lógica deve usar histórico real para reduzir compras fragmentadas, mas a fórmula exata ainda não foi homologada. | D19=Decisão Tela 11 / CEI | E19=Sem fórmula aprovada, quantidade sugerida pode superdimensionar ou fragmentar compras. | F19=Homologar fórmula, janela histórica, mínimos/múltiplos e critérios por insumo. | G19=LACUNA — DECISÃO MAJUCAU
A20=L-18 | B20=Compras — prioridade e prazo histórico | C20=Prioridade aumenta com o prazo histórico individual, mas janela/estatística do prazo e faixas Alta/Média/Baixa ainda não foram definidas. | D20=Decisão Tela 11 / CEI | E20=Prioridade pode ficar arbitrária ou invertida. | F20=Homologar janela histórica, estatística e thresholds de prioridade. | G20=LACUNA — DECISÃO MAJUCAU
A21=L-19 | B21=Cacau — sinais externos | C21=Bloco especial foi aprovado, mas fontes finais, thresholds de relevância/alto risco, normalização de preço/câmbio e cadastro dos locais de origem dos fornecedores ainda precisam contrato técnico. | D21=Decisão Tela 11 / CEI | E21=Risco de cacau pode sinalizar falso positivo/negativo ou comparar bases incompatíveis. | F21=Homologar fontes, thresholds, freshness, origem geográfica e comparabilidade de preço. | G21=BLOQUEADO POR DADO/REGRA
A22=L-20 | B22=Forecast — thresholds de qualidade | C22=WAPE, Bias e MASE estão definidos, mas os limites de aprovação/reprovação do modelo geral e por sazonalidade ainda não foram homologados. | D22=Decisão Tela 12 / CEI | E22=Sem threshold não se deve aprovar automaticamente uma versão de forecast como 'boa'. | F22=Homologar limites por métrica e, quando aplicável, por sazonalidade/SKU. | G22=LACUNA — DECISÃO MAJUCAU
A23=L-21 | B23=Meta de faturamento — distribuição | C23=Conceito aprovado: distribuir meta R$ entre SKUs usando mix/preço do estudo e permitir override por SKU; algoritmo técnico detalhado, preço de referência e reconciliação de overrides ainda precisam homologação/versionamento. | D23=Decisão Tela 12 / CEI | E23=Distribuição mal definida pode transformar meta financeira em quantidades erradas. | F23=Homologar preço realizado de referência, regra de distribuição e tratamento de overrides para cenário mista. | G23=LACUNA — DECISÃO MAJUCAU
A24=L-22 | B24=Telas 13–15 — exportação | C24=Os mockups vigentes exibem Exportar, mas conteúdo, formato e escopo de exportação das Telas 13, 14 e 15 não foram homologados. | D24=S/T/U CEIs | E24=Implementar por inferência criaria artefato não aprovado e possível vazamento de dados técnicos. | F24=Definir por tela se exporta, formato, colunas, filtros/contexto e permissões; até lá não implementar. | G24=LACUNA — DECISÃO MAJUCAU
A25=L-23 | B25=Tela 13 — resolução por tipo | C25=O botão/ação contextual 'Resolver' pode abrir contexto, mas o fluxo que efetivamente fecha cada classe de pendência ainda depende da regra do módulo/tipo. | D25=S_CEI_Tela_13 | E25=Fechar genericamente pode mascarar bloqueio ou divergência sem corrigir causa. | F25=Mapear tipos de pendência para fluxo autorizado, permissões, evidências e transição de status. | G25=LACUNA — DECISÃO/IMPLEMENTAÇÃO
A26=L-24 | B26=Tela 15 — freshness por fonte | C26=A semântica de STALE está fechada, mas o prazo/SLA de freshness deve ser configurado por fonte real; não existe um prazo global aprovado. | D26=U_CEI_Tela_15 | E26=Sem política por fonte, status STALE/OK pode ser arbitrário. | F26=Homologar/configurar freshness, retry e timeout por Bling e por cada fonte externa ativa. | G26=LACUNA — DADO/CONFIGURAÇÃO
