A1=A Matriz Mestra
A2=ID | B2=Domínio | C2=Tema | D2=Regra | E2=Fonte documental | F2=Dono da regra | G2=Fonte do dado | H2=Sistema atual | I2=Situação atual | J2=Dependência de outro domínio | K2=Regra correspondente no outro documento | L2=Compatível? | M2=Conflito? | N2=Lacuna? | O2=Alteração necessária | P2=Impacto | Q2=Critério de aceite | R2=Teste | S2=Status para implementação
A3=M-001 | B3=Governança | C3=Precedência | D3=Código existente nunca prevalece sobre regra aprovada; dúvida material bloqueia e retorna à Majucau. | E3=GOV §1/23; FIN RC-3 §1; COM/LOG RC-2.2 gate | F3=Majucau por domínio | G3=Documentos aprovados | H3=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I3=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J3=Todos | K3=Ambos exigem não inventar e não usar código como autoridade. | L3=SIM | M3=NÃO | N3=NÃO | O3=Nenhuma alteração de código antes do gate. | P3=Evita implementação silenciosamente divergente. | Q3=Gate aprovado e cada regra material referenciada por rule_id/versão. | R3=T-GOV-01 | S3=BLOQUEADO POR REGRA
A4=M-002 | B4=Transversal | C4=Estados de dados | D4=Realizado ≠ projetado; null/UNAVAILABLE ≠ 0; incerteza deve permanecer explícita. | E4=GOV §4/21; FIN LOCK-01/02 §3; COM/LOG §3/12 | F4=Compartilhado | G4=Todas | H4=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I4=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J4=Todos | K4=Estados técnicos dos dois documentos são complementares. | L4=SIM | M4=NÃO | N4=NÃO | O4=Implementar camada única de estado/proveniência somente após gate. | P4=Evita falso positivo/negativo e números fictícios. | Q4=UNAVAILABLE nunca vira 0; PROJECTED nunca entra como realizado. | R4=T-STATE-01..07 | S4=BLOQUEADO POR REGRA
A5=M-003 | B5=Comercial/Financeiro | C5=Venda realizada | D5=Venda realizada B2C/B2B = Bling; Nuvem não cria segunda venda. | E5=FIN LOCK-03; COM/LOG §2/3/5.1 | F5=Comercial para fato de venda; Financeiro consome o fato | G5=Bling | H5=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I5=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J5=Financeiro | K5=Regras equivalentes. | L5=SIM | M5=NÃO | N5=NÃO | O5=Nenhuma mudança documental; auditar implementação após acesso ao código. | P5=Dupla contagem de receita se violado. | Q5=Mesmo order/item não soma novamente evento Nuvem. | R5=T-SALE-01..07 | S5=BLOQUEADO POR REGRA
A6=M-004 | B6=Financeiro | C6=Recebível B2C | D6=Direito a receber B2C = Nuvem/Nuvem Pago, ingerido por arquivo controlado; Bling não duplica. | E6=FIN LOCK-04 §2/4.2/5; COM/LOG §2/4.2 | F6=Financeiro | G6=Nuvem/Nuvem Pago via arquivo | H6=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I6=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J6=Comercial fornece pedido/evento e conciliação com venda. | K6=Equivalentes/complementares. | L6=SIM | M6=NÃO | N6=NÃO | O6=Validar chaves reais de arquivo e conciliação com Bling. | P6=Risco de duplicar recebível ou confundir venda com recebimento. | Q6=B2C aparece uma única vez como direito; mantém vínculo com venda Bling. | R6=T-REC-B2C-01..07 | S6=BLOQUEADO POR DADO
A7=M-005 | B7=Financeiro | C7=Recebível B2B | D7=Direito a receber B2B = Bling, fonte única por direito. | E7=FIN LOCK-04 §2/4.2; COM/LOG §2/4.2 | F7=Financeiro | G7=Bling | H7=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I7=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J7=Comercial | K7=Equivalentes. | L7=SIM | M7=NÃO | N7=NÃO | O7=Auditar implementação quando código estiver disponível. | P7=Risco de duplicidade por canal/origem. | Q7=Cada direito B2B tem uma única business_key. | R7=T-REC-B2B-01..07 | S7=BLOQUEADO POR REGRA
A8=M-006 | B8=Financeiro | C8=A Pagar — constituição | D8=Somente obrigação constituída entra em A Pagar; forecast/compra sugerida não entram. | E8=FIN §2/4.3; COM/LOG §3/4.2/5.5 | F8=Financeiro | G8=Bling títulos/obrigações | H8=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I8=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J8=Comercial/Compras | K8=Equivalentes. | L8=SIM | M8=NÃO | N8=NÃO | O8=Separar necessidade de compra de obrigação financeira. | P8=Evita inflar passivo e caixa comprometido. | Q8=Sem título/compromisso real, item não aparece em A Pagar. | R8=T-AP-OBR-01..07 | S8=BLOQUEADO POR REGRA
A9=M-007 | B9=Financeiro | C9=A Pagar — pagamento parcial | D9=RC-3: A Pagar NÃO possui pagamento parcial; divergência de valor vai para reconciliação. RC-2.2: pagamento parcial mantém saldo remanescente. | E9=FIN LOCK-05 §4.3/T-05; COM/LOG §4.2 e matriz §18 | F9=Financeiro | G9=Bling + movimento bancário | H9=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I9=CONFLITO REAL documental. | J9=Nenhuma — mesma chave financeira. | K9=Regras incompatíveis para o mesmo título/movimento. | L9=NÃO | M9=SIM | N9=NÃO | O9=Majucau/Financeiro deve decidir uma única semântica antes de implementar. | P9=Pode alterar saldo a pagar, vencidos, caixa e conciliação. | Q9=Teste de valor pago menor que título deve ter resultado único aprovado. | R9=T-CONF-AP-01..07 | S9=CONFLITO — DECISÃO MAJUCAU
A10=M-008 | B10=Financeiro | C10=Conciliação | D10=Não forçar match; múltiplos candidatos/ausência de ponta = PENDING_RECONCILIATION; incompatibilidade = DIVERGENT. | E10=GOV §14; FIN §4.4; COM/LOG §4.3 | F10=Financeiro | G10=Bling + Itaú/Mercado Pago/Nuvem conforme caso | H10=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I10=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J10=Comercial/Logística fornece chaves de pedido/NF/envio. | K10=Compatíveis. | L10=SIM | M10=NÃO | N10=NÃO | O10=Implementar matching conservador somente com chaves validadas. | P10=Falso match altera caixa, obrigações e rastreabilidade. | Q10=Match automático apenas com evidência suficiente e unicidade. | R10=T-RECON-01..07 | S10=BLOQUEADO POR DADO
A11=M-009 | B11=Transversal | C11=Nuvem — meio técnico | D11=Não criar API Nuvem/Nuvemshop nesta fase; origem de negócio continua Nuvem, ingestão por arquivo em pasta controlada. | E11=GOV §11; COM/LOG §0.5/14.1; FIN §13 | F11=Majucau / compartilhado | G11=Pasta controlada | H11=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I11=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J11=Financeiro e Comercial usam a mesma ingestão. | K11=Compatíveis. | L11=SIM | M11=NÃO | N11=NÃO | O11=Implementar apenas importador por pasta após validar layout/freshness. | P11=Evita overengineering e fonte duplicada. | Q11=Nenhuma chamada/API Nuvem; todo lote tem hash e file_batch_id. | R11=T-FILE-01..07 | S11=BLOQUEADO POR DADO
A12=M-010 | B12=Transversal | C12=Ciclo de vida do arquivo | D12=COM/LOG pede pasta de origem preferencialmente read-only e sem mover/renomear sem autorização; FIN §13 prevê mover para processados/ após sucesso. | E12=COM/LOG §0.5/14.1; FIN §13 | F12=Compartilhado/Infra | G12=Pasta controlada | H12=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I12=Ambiguidade técnica não resolvida. | J12=Todos os importadores | K12=Pode coexistir se 'processados/' for cópia interna, mas isso não está explicitamente aprovado. | L12=NÃO | M12=NÃO | N12=SIM | O12=Definir se origem é read-only e se haverá cópia interna/staging; não mover fonte sem decisão. | P12=Risco de perda de evidência, permissões excessivas ou reprocessamento. | Q12=Política de arquivo aprovada e testada com origem imutável ou fluxo autorizado. | R12=T-FILE-LIFE-01..07 | S12=LACUNA — DECISÃO MAJUCAU
