A1=H Contrato Dados
A2=Entidade/Contrato | B2=Dono | C2=Fonte | D2=Chave/ID documentado | E2=Campos mínimos documentados | F2=Estados | G2=Idempotência/Atualização | H2=Bloqueio/Pendência
A3=Campos transversais | B3=Compartilhado | C3=Todas | D3=source_id/document_id + business_key/idempotency_key | E3=source/provider; ingestion_channel; file_batch_id; file_name; file_hash; source_file_date; reference_date/position_date; observed_at/market_ts; fetched_at/sync_ts/imported_at; status; freshness; rule_version; alteração manual antes/depois/usuário/motivo | F3=CONFIRMED/PARTIALLY_CONFIRMED/PROVISIONAL/PROJECTED/PENDING_RECONCILIATION/DIVERGENT/UNAVAILABLE/STALE/UNMAPPED | G3=Nunca sobrescrever histórico; reimportação não infla KPI | H3=Nenhum
A4=sales_actual | B4=Comercial | C4=Bling | D4=order_id + item_id + sku | E4=date, order_id, item_id, sku, customer_id, channel, qty, gross_revenue, discount, net_revenue, source, status, sync_ts | F4=status técnico | G4=Fato realizado substitui projeção correspondente; Nuvem não duplica | H4=Chave final deve ser validada no Bling real
A5=b2c_payment_event | B5=Financeiro | C5=Nuvem/Nuvem Pago via controlled_folder | D5=order_id + provider + evento/origem (não usar Nº transação sozinho) | E5=order_id, provider, amount, status, received_at, source, ingestion_channel, file_batch_id, bling_sync_status, bling_sync_ts | F5=status técnico + reconciliação | G5=Eventos distintos com mesmo Nº transação devem sobreviver | H5=Layout/chaves reais pendentes
A6=nuvem_fee_actual | B6=Comercial/Financeiro | C6=Extrato concretizado Nuvem | D6=transaction_id/order_key + tipo de evento + data/chave de origem | E6=payment_date, payment_method, installments, gross_amount, fee_amount, interest_amount, total_cost_amount, net_amount, source_file_id/hash, status, imported_at | F6=CONFIRMED ou estado de arquivo | G6=Extrato prevalece; contrato não soma de novo | H6=Classificação de Juros OPEN-03
A7=shipment_label | B7=Logística | C7=Nuvem Envio | D7=shipment_id/order_key | E7=carrier, service, quote_freight, quote_nuvem_fee, quote_total, invoice_freight, invoice_nuvem_fee, invoice_total, cost_status, source_file_id/hash, imported_at | F7=PROVISIONAL/CONFIRMED | G7=Fatura substitui granularmente cotação do mesmo envio | H7=Chave real e layout Nuvem Envio a validar
A8=outbound_invoice_freight | B8=Logística | C8=Bling/NF saída | D8=invoice_id + order_key | E8=issue_date, freight_charged_customer, source, status, sync_ts | F8=CONFIRMED/UNAVAILABLE conforme leitura | G8=Sem frete em NF válida pode ser 0; falha de leitura não | H8=Mapear campo estruturado real da NF
A9=freight_economics | B9=Logística | C9=Derivado | D9=order_key | E9=freight_customer, label_cost, majucau_subsidy, freight_result, carrier, label_status, calculated_at, rule_version | F9=herda pior qualidade das fontes | G9=Recalcular de fatos, sem duplicar valor físico | H9=Classificação financeira não pertence a esta entidade
A10=loss_event | B10=Comercial | C10=Planilha de Perdas | D10=incident_id | E10=order_id, date, reason, carrier, lost_value, recovery_status, recovered_value, recovered_at, source | F10=status de perda/recuperação | G10=Vincular a fato Bling quando for o mesmo evento | H10=Competência da perda/recuperação OPEN
A11=inventory_snapshot | B11=Comercial | C11=Bling | D11=sku/insumo + snapshot | E11=qty_physical, qty_reserved, qty_blocked, qty_usable, lot, expiry, cost, source, sync_ts | F11=CONFIRMED/STALE/UNAVAILABLE | G11=Snapshot por data; não preencher componente ausente com 0 | H11=CMV histórico usa regra financeira própria
A12=bom_version | B12=Comercial | C12=Cadastro Majucau/Bling conforme fonte aprovada | D12=product_sku + version + valid_from | E12=valid_to, input_sku, qty, unit, yield_factor, loss_factor | F12=válida/bloqueada | G12=Versão temporal; não usar BOM inválida | H12=Fonte real deve ser confirmada na auditoria técnica
A13=purchase_recommendation | B13=Comercial/Operação | C13=Bling + regra Tela 11 | D13=sku + position_ts | E13=sku, current_stock, min_stock_bling, open_applicable_po, last_attended_po_id, last_purchase_ref, last_inbound_nfe_id, last_invoiced_unit_price, historical_delivery_days, recommended_qty, estimated_value, priority, calculation_status, position_ts | F13=CONFIRMED/PENDING_RULE/STALE/UNAVAILABLE | G13=Derivar sempre dos fatos atuais; não persistir como obrigação; reprocessamento não cria pedido | H13=Quantidade recomendada e faixas de prioridade aguardam homologação
A14=purchase_order_line | B14=Comercial/Financeiro | C14=Bling | D14=po_id + line_id | E14=input_sku, qty_ordered, qty_open, order_date, status, attended_at_manual_status_ts, inbound_nfe_id, supplier_id, source, sync_ts | F14=OPEN/ATTENDED/CANCELLED/UNAVAILABLE conforme origem | G14=Preservar timestamps de mudança; pedido real não é recriado pela Tela 11 | H14=Mapear tecnicamente vínculo Pedido de Compra ↔ NF-e entrada e timestamp de ATENDIDO
A15=pricing_input | B15=Financeiro/Comercial | C15=Bling + parâmetros + taxas | D15=sku + channel + valid_from | E15=unit_cmv, unit_variable_fixed, fee_pct, tax_pct, min_contribution_pct, source, approval_status | F15=aprovado/bloqueado | G15=Parâmetros versionados; nenhum percentual material hardcoded | H15=Rateio tarifa fixa OPEN-04
A16=file_import_batch | B16=Compartilhado | C16=Pasta controlada | D16=batch_id + file_hash | E16=source, folder_path_ref, file_name, source_file_date, period_start, period_end, imported_at, rows_read, rows_accepted, rows_rejected, duplicate_rows, status, rejection_reason | F16=válido/rejeitado/STALE etc. | G16=Mesmo hash não cria nova carga; chave de negócio também deduplica | H16=Política read-only vs move precisa decisão
A17=Balancete entry | B17=Financeiro | C17=Fatos + mappings aprovados | D17=entry_id/source_id | E17=reference_date/competence_date, account_id/account_name, debit, credit, counterparty_account_id, document_id, rule_version, status | F17=CONFIRMED/UNMAPPED/DIVERGENT/... | G17=Partidas preservadas; sem conta automática | H17=Saldo inicial/contrapartida OPEN-06
A18=DRE fact mapping | B18=Financeiro | C18=Fatos aprovados | D18=source/document/business_key + mapping_id | E18=mapping_id aprovado, referência documental, rule_version, status | F18=UNMAPPED quando sem classificação | G18=Fato sem mapping não entra em conta coringa | H18=OPEN-03/07/13 e competência de perdas
A19=purchase_inbound_invoice_price | B19=Comercial/Financeiro | C19=Bling — NF-e de entrada vinculada ao Pedido atendido | D19=inbound_nfe_id + line_id/sku | E19=po_id, inbound_nfe_id, sku, issue_date, qty_invoiced, unit_price_invoiced, currency, unit, supplier_id, source, sync_ts | F19=CONFIRMED/UNAVAILABLE | G19=Última NF-e válida vinculada ao último ciclo atendido prevalece para 'último preço faturado' | H19=Validar campos/chaves reais da integração
A20=purchase_delivery_history | B20=Operação | C20=Bling — Pedido de Compra | D20=po_id + sku | E20=po_id, sku, order_date, attended_at_manual_status_ts, delivery_elapsed_hours_days, supplier_id, source, sync_ts | F20=CONFIRMED/UNAVAILABLE | G20=Prazo real = ATENDIDO timestamp - data/hora do Pedido; não usar prazo genérico de fornecedor | H20=Janela/estatística histórica para o indicador ainda precisa homologação
