A1=B Intersecoes
A2=Tema | B2=Fato original | C2=Fonte | D2=Uso Comercial/Logística | E2=Uso Financeiro | F2=Existe conflito? | G2=Risco de dupla contagem | H2=Regra consolidável sem decisão? | I2=Decisão Majucau necessária?
A3=Venda | B3=Fato de venda realizada | C3=Bling | D3=KPIs de vendas, mix, demanda realizada | E3=Receita/fato-base para DRE e recebíveis correlatos | F3=NÃO | G3=ALTO se Nuvem somar como segunda venda | H3=SIM | I3=NÃO
A4=Pedido B2C | B4=Pedido/evento antes do Bling | C4=Nuvem via arquivo | D4=Pré-venda/conciliação/operacional | E4=Suporte ao recebível B2C e conciliação | F4=NÃO | G4=MÉDIO | H4=SIM | I4=NÃO
A5=Recebível B2C | B5=Direito a receber | C5=Nuvem/Nuvem Pago via arquivo | D5=Contexto de pedido/qualidade da venda | E5=Agenda de caixa/contas a receber | F5=NÃO | G5=ALTO se Bling duplicar | H5=SIM, após mapear chaves reais | I5=SIM — chaves/freshness técnicas
A6=Taxas | B6=Taxas/Juros/Custos Totais realizados | C6=Extrato concretizado Nuvem | D6=Análise de custo comercial realizado | E6=Classificação/competência na DRE/financeiro | F6=NÃO | G6=ALTO se contrato for somado de novo | H6=PARCIAL | I6=SIM — classificação de Juros e mappings
A7=Frete | B7=Custo da etiqueta | C7=Nuvem Envio | D7=Custo logístico, transportadora, subsídio | E7=Fato a classificar financeiramente | F7=NÃO | G7=ALTO se houver cópia independente | H7=SIM para fato; NÃO para contabilidade | I7=SIM — mapping/competência financeira
A8=Frete cliente | B8=Frete destacado na NF | C8=NF saída/Bling | D8=Recuperação operacional e resultado do frete | E8=Tratamento financeiro/contábil a definir | F8=NÃO | G8=MÉDIO | H8=SIM operacionalmente | I8=SIM — classificação financeira se aplicável
A9=CMV/CPV | B9=Custo por SKU usado no fato vendido | C9=Bling | D9=Margem/contribuição quando válido | E9=DRE-04 CMV/CPV | F9=NÃO | G9=ALTO se BOM/NF substituir | H9=PARCIAL | I9=SIM — snapshot histórico OPEN-01
A10=Margem/Pricing | B10=Preço/custo/taxas/params | C10=Bling + parâmetros + Nuvem | D10=Análise de preço, mix, combos | E10=Fonte de custo e parâmetros financeiros | F10=NÃO | G10=MÉDIO | H10=PARCIAL | I10=SIM — rateio tarifa fixa e local UI
A11=Compras | B11=Estoque mínimo/estoque atual + pedido aberto + histórico real de compra | C11=Bling + sinais externos do cacau | D11=Compras Recomendadas, preço faturado, prazo histórico individual, prioridade e risco informativo do cacau | E11=A Pagar só quando obrigação constituída; recomendação não cria pedido nem obrigação | F11=NÃO | G11=ALTO se recomendação virar pedido/obrigação automaticamente | H11=SIM | I11=SIM — fórmula de quantidade, faixas de prioridade e thresholds/fontes do cacau ainda precisam homologação
A12=Estoque | B12=Snapshot real e eventos | C12=Bling | D12=Cobertura, produção, compras | E12=PME/NCG e custos quando mapeados | F12=NÃO | G12=MÉDIO | H12=SIM | I12=NÃO, salvo parâmetros financeiros específicos
A13=Perdas | B13=Evento de perda | C13=Planilha Perdas + fato oficial | D13=Ocorrência operacional e causa | E13=DRE apenas uma vez, após reconhecimento | F13=NÃO | G13=ALTO | H13=PARCIAL | I13=SIM — competência
A14=Recuperações | B14=Evento aprovado/recebido/estorno/reposição | C14=Planilha + fonte financeira oficial | D14=Status operacional | E14=Caixa/DRE só com fato reconhecível | F14=NÃO | G14=ALTO | H14=PARCIAL | I14=SIM — momento/conta/fonte
A15=DRE | B15=Fatos mapeados | C15=Bling + fontes aprovadas | D15=Fornece margem/resultados quando confirmados | E15=Motor Majucau de classificação e competência | F15=NÃO | G15=ALTO | H15=PARCIAL | I15=SIM — fontes/mappings OPEN
A16=Investimentos | B16=Lucro elegível + caixa crítico + reserva | C16=DRE/fluxo/Nuvem/CDI Plus | D16=Não define regra financeira | E16=Máximo aplicável e executável | F16=SIM | G16=ALTO | H16=NÃO | I16=SIM — 3 conflitos/opens críticos
