A1=F Alteracoes
A2=Ordem | B2=Objeto | C2=Alteração necessária | D2=Tipo | E2=Dependência | F2=Pode executar agora? | G2=Critério de conclusão
A3=1 | B3=Documentação | C3=Resolver C-01 A Pagar parcial e publicar regra única com ID/versionamento. | D3=Governança | E3=Decisão Majucau/Financeiro | F3=NÃO | G3=Dois documentos passam a ter a mesma semântica.
A4=2 | B4=Documentação | C4=Resolver C-02 Semana Crítica e atualizar fórmula/teste/wireframe. | D4=Governança | E4=Decisão Majucau/Financeiro | F4=NÃO | G4=Há um único algoritmo oficial e T-12 equivalente.
A5=3 | B5=Documentação | C5=Resolver C-03 fonte do Lucro Elegível (DRE Bling x DRE Majucau). | D5=Governança | E5=Decisão Majucau/Financeiro | F5=NÃO | G5=Fonte única aparece em contrato e Tela 10.
A6=4 | B6=Auditoria técnica | C6=Fornecer repositório/read-only, schema, migrations, configs e testes existentes. | D6=Evidência | E6=Majucau/DEV | F6=NÃO | G6=É possível classificar JÁ CONFORME/PRECISA ALTERAÇÃO por arquivo/componente.
A7=5 | B7=Contrato de arquivos | C7=Fechar layout, chaves, freshness e política read-only/processados. | D7=Dados | E7=Arquivos reais + decisão L-12 | F7=NÃO | G7=Importação tem contrato testável e sem destruição da origem.
A8=6 | B8=Dados transversais | C8=Implementar, após gate, provenance/status/idempotency/audit trail comum. | D8=Código futuro | E8=Gate + auditoria técnica | F8=NÃO | G8=Todo KPI material possui drill-down de origem/regra.
A9=7 | B9=Ingestão | C9=Implementar único motor manual/automático de validação/staging/importação. | D9=Código futuro | E9=L-11/L-12 resolvidos | F9=NÃO | G9=Reimportação não altera totais; layout inválido é rejeitado com motivo.
A10=8 | B10=Logística | C10=Implementar fato único de etiqueta/NF/frete e derivados, sem classificação contábil embutida. | D10=Código futuro | E10=Importador + chaves reais | F10=NÃO | G10=CONFIRMED/PROVISIONAL e lineage corretos por pedido.
A11=9 | B11=Financeiro | C11=Implementar apenas partes LOCKED de DRE/Balancete; OPEN permanecem bloqueados. | D11=Código futuro | E11=Gate + mappings/fontes | F11=NÃO | G11=UNMAPPED/UNAVAILABLE não entram silenciosamente.
A12=10 | B12=Pricing | C12=Implementar fórmula analítica somente após OPEN-04 e OPEN-08 quando aplicáveis. | D12=Código futuro | E12=Decisões UI/rateio | F12=NÃO | G12=Nunca escreve no Bling; memória de cálculo reproduzível.
A13=11 | B13=Investimentos | C13=Implementar somente após C-02/C-03/OPEN-05 resolvidos. | D13=Código futuro | E13=Decisões financeiras | F13=NÃO | G13=Semana, caixa e lucro elegível são inequívocos.
A14=12 | B14=Tela 11 / Compras | C14=Aplicar mockup aprovado: Tela read-only; remover Exportar/Ajuda do cabeçalho, gerar pedido, cards e blocos projetados; manter Compras Recomendadas + bloco especial do cacau; exportação somente da lista de recomendações para Excel; regra de entrada reconcilia com Tela 09. | D14=Interface executável / contrato de dados | E14=Decisão Majucau 12/09/2026 + Q_CEI_Tela_11 | F14=SIM — DOCUMENTAÇÃO | G14=Q_CEI_Tela_11, Matriz, contratos, lacunas, testes e interseções atualizados; fórmula de quantidade/prioridade e sinais externos permanecem explicitamente OPEN.
A15=13 | B15=Tela 12 / Projeções | C15=Formalizar estudo de 24 meses Bling e horizonte de 12 meses; sazonalidade de chocolates; métricas WAPE/Bias/MASE; cenários ESTUDO e META (faturamento/SKU/mista); cadeia vendas→produção→estoque; produção sem desconto do estoque pronto; exportação XLSX completa do cenário com OP Projetada e marcação PROJECTED. | D15=Interface executável / contrato de dados / planejamento | E15=Decisões Majucau 12/09/2026 + R_CEI_Tela_12 | F15=SIM — DOCUMENTAÇÃO | G15=R_CEI_Tela_12, Matriz, contratos, lacunas e testes atualizados; nenhuma projeção escreve no Bling.
A16=14 | B16=Regra visual global | C16=Formalizar Design Lock: mockup vigente não pode ser redesenhado; somente dados/conteúdo podem ser alterados sem aprovação específica. | D16=Governança / Design | E16=Decisão Majucau 12/09/2026 | F16=SIM — DOCUMENTAÇÃO | G16=M-050 e CEIs T13–T15 registram a regra.
A17=15 | B17=Tela 13 / Lançamentos & Pendências | C17=Consolidar central de exceções OPEN/BLOCKED/PENDING/UNMAPPED/STALE/DIVERGENT, com lineage e resolução contextual sem mutação automática. | D17=Interface executável / controle | E17=Decisão Majucau + mockup vigente | F17=SIM — DOCUMENTAÇÃO | G17=S_CEI_Tela_13 + matriz + contratos + testes atualizados; export/resolução específica permanecem OPEN.
A18=16 | B18=Tela 14 / Alertas | C18=Consolidar central de alertas como agregadora das regras de origem; não criar threshold próprio e não inventar alertas da Tela 10. | D18=Interface executável / controle | E18=Decisão Majucau + mockup vigente | F18=SIM — DOCUMENTAÇÃO | G18=T_CEI_Tela_14 + matriz + contratos + testes atualizados; export permanece OPEN.
A19=17 | B19=Tela 15 / Importações / Integrações | C19=Consolidar saúde/freshness/lotes/hash/idempotência/rejeições/reprocessamento; Bling + somente fontes aprovadas/configuradas. | D19=Interface executável / integração | E19=Decisão Majucau + mockup vigente | F19=SIM — DOCUMENTAÇÃO | G19=U_CEI_Tela_15 + matriz + contratos + testes atualizados; export/freshness específica permanecem OPEN.
A20=18 | B20=Tela 16 / Parâmetros | C20=Incorporar mockup aprovado e formalizar CEI da central de parâmetros: somente regras/fontes já aprovadas; histórico forecast 24m, horizonte 12m, WAPE/Bias/MASE, mínimo Bling, regra de compra, investimentos e fontes externas. Sem editor genérico, Exportar ou Ajuda. | D20=Interface executável / governança / configuração | E20=Decisão Majucau + mockup aprovado 12/09/2026 | F20=SIM — DOCUMENTAÇÃO | G20=V_Mockup_Tela_16 e W_CEI_Tela_16 criados; matriz, contratos, lacunas e testes atualizados.
A21=19 | B21=Tela 17 / Usuários | C21=Incorporar mockup aprovado e formalizar CEI de usuários/perfis/permissões com ADMIN, FINANCEIRO, OPERAÇÃO e LEITURA; autorização deve ocorrer no backend, default deny, mudanças auditáveis e bloqueado sem acesso. Fluxos técnicos de identidade/mutação permanecem OPEN. | D21=Interface executável / segurança / IAM | E21=Decisão Majucau + mockup aprovado 12/09/2026 | F21=SIM — DOCUMENTAÇÃO | G21=X_Mockup_Tela_17 e Y_CEI_Tela_17 criados; matriz, contratos, lacunas e testes atualizados.
