A1=I Testes
A2=Regra crítica | B2=Caso | C2=Tipo | D2=Entrada/Cenário | E2=Resultado esperado | F2=Previne | G2=Status
A3=Venda realizada / não duplicidade | B3=01 | C3=normal | D3=Pedido existe no Bling e também no arquivo Nuvem | E3=Conta uma venda realizada; Nuvem só auxilia vínculo. | F3=dupla receita | G3=EXECUTÁVEL APÓS GATE
A4=Venda realizada / não duplicidade | B4=02 | C4=limite | D4=Pedido Bling com qty=0/cancelado conforme status de origem | E4=Não inventar receita/quantidade; respeitar status real. | F4=KPI inválido | G4=APÓS MAPEAMENTO
A5=Venda realizada / não duplicidade | B5=03 | C5=ausência | D5=Evento Nuvem sem correspondente Bling | E5=Não entra em Venda Realizada. | F5=falso positivo | G5=EXECUTÁVEL APÓS GATE
A6=Venda realizada / não duplicidade | B6=04 | C6=divergente | D6=Bling e Nuvem têm valores diferentes | E6=Venda continua fato Bling; divergência fica auditável, não ajusta venda. | F6=ajuste silencioso | G6=EXECUTÁVEL APÓS GATE
A7=Venda realizada / não duplicidade | B7=05 | C7=duplicado | D7=Mesmo arquivo Nuvem reimportado | E7=Totais de venda e eventos não aumentam. | F7=duplicidade | G7=EXECUTÁVEL APÓS GATE
A8=Venda realizada / não duplicidade | B8=06 | C8=parece correto mas não é | D8=Somar Bling+Nuvem porque totais parecem bater meta | E8=Teste deve falhar: é dupla fonte do mesmo fato. | F8=falso positivo | G8=EXECUTÁVEL APÓS GATE
A9=Venda realizada / não duplicidade | B9=07 | C9=parece erro mas é válido | D9=Mesmo pedido tem eventos distintos venda/estorno/contestação | E9=Preservar eventos distintos; não deduplicar agressivamente. | F9=falso negativo | G9=EXECUTÁVEL APÓS GATE
A10=null/UNAVAILABLE ≠ 0 | B10=01 | C10=normal | D10=Campo monetário = 0 explicitamente válido | E10=Aceitar 0 CONFIRMED quando a fonte prova zero. | F10=falso indisponível | G10=EXECUTÁVEL
A11=null/UNAVAILABLE ≠ 0 | B11=02 | C11=limite | D11=Campo vazio mas arquivo e schema dizem opcional | E11=Classificar conforme regra do campo; não converter automaticamente em 0. | F11=zero fictício | G11=APÓS MAPEAMENTO
A12=null/UNAVAILABLE ≠ 0 | B12=03 | C12=ausência | D12=Coluna obrigatória ausente | E12=UNAVAILABLE/rejeição de lote; cálculo dependente bloqueia. | F12=zero fictício | G12=EXECUTÁVEL
A13=null/UNAVAILABLE ≠ 0 | B13=04 | C13=divergente | D13=Duas fontes trazem 0 e 10 para mesma chave | E13=DIVERGENT; não escolher uma silenciosamente. | F13=falso confirmado | G13=EXECUTÁVEL
A14=null/UNAVAILABLE ≠ 0 | B14=05 | C14=duplicado | D14=Dois zeros da mesma chave por reimportação | E14=Uma ocorrência lógica; sem inflar contagem. | F14=duplicidade | G14=EXECUTÁVEL
A15=null/UNAVAILABLE ≠ 0 | B15=06 | C15=parece correto mas não é | D15=Dashboard exibe R$0 porque parser falhou | E15=Teste deve falhar; deve exibir indisponível. | F15=falso positivo | G15=EXECUTÁVEL
A16=null/UNAVAILABLE ≠ 0 | B16=07 | C16=parece erro mas é válido | D16=NF válida sem frete destacado | E16=R$0 de frete cliente é válido se ausência semântica confirmada. | F16=falso negativo | G16=APÓS MAPEAMENTO NF
A17=Importação por pasta / idempotência | B17=01 | C17=normal | D17=Arquivo novo, layout válido, hash novo | E17=Criar batch, validar, importar, auditar totais. | F17=perda de lineage | G17=APÓS CONTRATO
A18=Importação por pasta / idempotência | B18=02 | C18=limite | D18=Arquivo com 1 linha válida e 1 inválida | E18=Resultado conforme política de parcial; status não pode fingir carga completa. | F18=confirmação parcial | G18=APÓS CONTRATO
A19=Importação por pasta / idempotência | B19=03 | C19=ausência | D19=Pasta sem acesso/arquivo esperado ausente | E19=UNAVAILABLE/STALE; sem 0 e sem apagar último valor. | F19=falso zero | G19=APÓS CONTRATO
A20=Importação por pasta / idempotência | B20=04 | C20=divergente | D20=Novo arquivo para mesmo período com valores incompatíveis | E20=DIVERGENT ou versionamento explícito; não sobrescrever silenciosamente. | F20=sobrescrita | G20=APÓS CONTRATO
A21=Importação por pasta / idempotência | B21=05 | C21=duplicado | D21=Mesmo conteúdo com outro nome | E21=Hash impede nova carga. | F21=duplicidade | G21=APÓS CONTRATO
A22=Importação por pasta / idempotência | B22=06 | C22=parece correto mas não é | D22=Layout mudou mas colunas continuam parseáveis em posições erradas | E22=Rejeitar por schema/headers/tipos/totais. | F22=corrupção silenciosa | G22=APÓS CONTRATO
A23=Importação por pasta / idempotência | B23=07 | C23=parece erro mas é válido | D23=Mesmo Nº transação em tipos de evento diferentes | E23=Preservar ambos com chave composta adequada. | F23=dedupe agressiva | G23=APÓS CONTRATO
A24=Taxas Nuvem realizadas | B24=01 | C24=normal | D24=Venda com Taxas+Juros=Custos Totais e Valor Líquido exportado | E24=Usar exportado; fórmula apenas valida. | F24=recalculo indevido | G24=APÓS GATE
A25=Taxas Nuvem realizadas | B25=02 | C25=limite | D25=Venda com Taxa=0 e Juros=0 | E25=0 válido se exportado; não aplicar contrato automaticamente. | F25=dupla cobrança | G25=APÓS GATE
A26=Taxas Nuvem realizadas | B26=03 | C26=ausência | D26=Custos Totais ausente em coluna obrigatória | E26=Lote/registro indisponível; não inferir. | F26=valor inventado | G26=APÓS CONTRATO
A27=Taxas Nuvem realizadas | B27=04 | C27=divergente | D27=Custos Totais ≠ Taxas+Juros em venda | E27=Marcar DIVERGENT/alerta de auditoria; preservar exportado. | F27=correção silenciosa | G27=APÓS GATE
A28=Taxas Nuvem realizadas | B28=05 | C28=duplicado | D28=Mesmo evento no mesmo/novo arquivo | E28=Não duplicar custo realizado. | F28=duplicidade | G28=APÓS CHAVES
A29=Taxas Nuvem realizadas | B29=06 | C29=parece correto mas não é | D29=Aplicar 2,59% + R$0,35 sobre evento já líquido | E29=Teste deve falhar; não reaplicar contrato. | F29=dupla taxa | G29=APÓS GATE
A30=Taxas Nuvem realizadas | B30=07 | C30=parece erro mas é válido | D30=Contestação não obedece fórmula de venda | E30=Preservar tipo e valor exportado; não forçar fórmula. | F30=falso divergente | G30=APÓS GATE
A31=Etiqueta / frete operacional | B31=01 | C31=normal | D31=Fatura de envio presente | E31=invoice_total => CONFIRMED; não somar cotação. | F31=dupla etiqueta | G31=APÓS CONTRATO
A32=Etiqueta / frete operacional | B32=02 | C32=limite | D32=Somente cotação presente | E32=quote_total => PROVISIONAL. | F32=provisório como realizado | G32=APÓS CONTRATO
A33=Etiqueta / frete operacional | B33=03 | C33=ausência | D33=Sem fatura e sem cotação | E33=UNAVAILABLE; derivados bloqueados. | F33=zero fictício | G33=APÓS CONTRATO
A34=Etiqueta / frete operacional | B34=04 | C34=divergente | D34=Fatura não corresponde à cotação ou pedido | E34=Preservar ambos; fatura substitui custo se chave correta, divergência auditável. | F34=match errado | G34=APÓS CHAVES
A35=Etiqueta / frete operacional | B35=05 | C35=duplicado | D35=Mesma fatura em dois arquivos | E35=Uma etiqueta lógica. | F35=duplicidade | G35=APÓS CHAVES
A36=Etiqueta / frete operacional | B36=06 | C36=parece correto mas não é | D36=Somar quote_total + invoice_total | E36=Teste deve falhar. | F36=dupla contagem | G36=APÓS GATE
