A1=J Autoauditoria
A2=ID | B2=Decisão tomada | C2=Evidência | D2=Alternativa rejeitada | E2=Por que rejeitou | F2=Risco da decisão | G2=Como tentei refutá-la | H2=O que faria esta decisão estar errada
A3=J-01 | B3=Não marcar nenhum item como JÁ CONFORME no sistema atual. | C3=Pacote não contém repo/schema/configs/testes; os dois FIN são documentação. | D3=Assumir que DEV_LOCK prova implementação. | E3=Nome do arquivo não é evidência de código executado. | F3=Pode parecer conservador demais. | G3=Procurei conteúdo de implementação nos anexos; o DEV_LOCK contém o mesmo texto de regras do outro FIN. | H3=Se houver repositório/código não incluído no pacote atual.
A4=J-02 | B4=Classificar A Pagar parcial como conflito real. | C4=FIN proíbe parcial; COM/LOG permite saldo remanescente. | D4=Dar precedência automática ao RC-3. | E4=Governança do usuário proíbe DEV arbitrar conflito. | F4=Bloqueia funcionalidade financeira. | G4=Comparei mesmo cenário R$1000/R$600; outputs são incompatíveis. | H4=Se Majucau já aprovou formalmente uma CR posterior não fornecida.
A5=J-03 | B5=Classificar Semana Crítica como conflito real. | C5=FIN diz maior despesa e 'não menor saldo'; COM/LOG diz menor saldo. | D5=Tratar como equivalentes/conservadores. | E5=Podem escolher semanas diferentes. | F5=Bloqueia investimentos. | G5=Criei cenário em que maior despesa e menor saldo são semanas diferentes. | H5=Se os dados reais garantissem matematicamente equivalência, o que não está documentado.
A6=J-04 | B6=Classificar fonte do Lucro Elegível como conflito. | C6=COM/LOG cita DRE do Bling; FIN usa DRE Majucau. | D6=Assumir erro de texto no wireframe. | E6=DEV não pode corrigir documentação por suposição. | F6=Bloqueia parte da Tela 10. | G6=Comparei DREs com resultados diferentes e impacto no máximo. | H6=Se a menção 'DRE do Bling' for oficialmente corrigida por Majucau antes do gate.
A7=J-05 | B7=Não tratar frete operacional e classificação financeira como conflito. | C7=COM/LOG fecha mensuração; FIN exige mapping para DRE. | D7=Criar dois custos independentes por domínio. | E7=Fato único + interpretações separadas reduz divergência. | F7=Mapping pode exigir campos adicionais. | G7=Verifiquei que FIN não redefine valor operacional da etiqueta. | H7=Se Financeiro aprovar base de valor diferente para reconhecimento e isso for erroneamente confundido com reescrita do fato.
A8=J-06 | B8=Manter CMV histórico bloqueado apesar do LOCK-08. | C8=LOCK-08 fecha metodologia; OPEN-01 mantém snapshot/campo histórico sem validação. | D8=Usar custo atual para histórico. | E8=Criaria falsa exatidão. | F8=Pode atrasar margens históricas. | G8=Procurei regra que autorizasse backfill com custo atual; não há. | H8=Se Bling fornecer e for validado um snapshot temporal oficial.
A9=J-07 | B9=Tratar read-only vs mover arquivo como lacuna, não conflito real de negócio. | C9=COM/LOG protege origem; FIN descreve processados/. | D9=Assumir que são a mesma pasta e declarar conflito definitivo. | E9=Pode ser reconciliável com staging/cópia interna, mas isso não está explicitado. | F9=Política pode ser trivial de resolver. | G9=Testei interpretação 'origem read-only + cópia interna'; é tecnicamente coerente, mas requer aprovação. | H9=Se FIN já definir explicitamente que processados/ é área interna separada da origem.
A10=J-08 | B10=Propagar status das fontes para subsídio/resultado de frete. | C10=COM/LOG diz mesma qualidade das fontes; GOV proíbe fingir confirmação. | D10=Sempre calcular número e marcar confirmed. | E10=Misturaria cotação e fatura. | F10=UI pode ter mais estados. | G10=Testei ausência de NF/fatura; número não é materialmente confiável. | H10=Se houver regra aprovada de cálculo parcial com estado próprio diferente.
A11=J-09 | B11=Não reaplicar tabela contratual Nuvem no realizado exportado. | C11=FIN §5 e COM/LOG §14.2 dizem extrato prevalece. | D11=Recalcular para padronizar. | E11=Geraria dupla cobrança e divergência artificial. | F11=Contrato pode diferir de extrato por evento. | G11=Usei contestação e custos exportados como contraexemplo. | H11=Se a fonte exportada for declarada inválida por regra formal e houver fallback aprovado.
A12=J-10 | B12=Manter UNMAPPED fora de conta coringa. | C12=FIN §6.2 explícito; GOV proíbe completar lacuna. | D12=Usar 'Outras despesas' para fechar DRE. | E12=Sacrifica auditabilidade e pode distorcer resultado. | F12=DRE pode ficar incompleta. | G12=Tentei cenário de fechamento perfeito com conta coringa; o número fecha, mas a classificação fica falsa. | H12=Se Majucau aprovar explicitamente uma conta transitória com regras e status, o que hoje não existe.
A13=J-11 | B13=Não implementar API Nuvem/microsserviços/fila distribuída. | C13=GOV §11/16 e COM/LOG §0.5 determinam pasta e simplicidade. | D13=Criar integração online 'mais moderna'. | E13=Contraria decisão atual e aumenta custo/complexidade. | F13=Arquivos exigem boa disciplina operacional. | G13=Testei necessidade real: volume e requisito atual não justificam streaming. | H13=Se Majucau aprovar nova fase com requisito de latência/volume que mude a decisão.
A14=J-12 | B14=Bloquear código até aprovação formal. | C14=Todos os gates documentais e comando de governança são explícitos. | D14=Começar estrutura 'neutra' antes da aprovação. | E14=Mesmo estrutura pode cristalizar premissas de chaves/estados conflitantes. | F14=Atraso de implementação. | G14=Separei atividades permitidas: auditoria/read-only e consolidação documental; código definitivo permanece parado. | H14=Se Majucau emitir aprovação formal da consolidação e dos conflitos/opens necessários.
